Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
30/03/2015,51604.41,4809.16,3838.65,11741.32,12086.01,28754.94,60329.33,269.08
31/03/2015,52006.71,4756.38,3805.27,11626.11,11966.17,28452.14,60440.43,270.32
1/04/2015,51737.23,4731.76,3790.66,11692.13,12001.38,28197.13,60881.85,267.89
2/04/2015,52071.18,4736.98,3804.14,11719.66,11967.39,28608.87,61350.04,267.91
8/04/2015,52622.42,4803.25,3833.2,11864.52,12035.86,29315.49,63685.45,271.61
9/04/2015,52370.69,4833.97,3850.29,12031.04,12166.44,29534.6,65402.85,271.42
10/04/2015,52690.39,4853.8,3870.31,12103.8,12374.73,29490.9,66199.03,275.22
13/04/2015,52618.9,4839.74,3852.93,12135.35,12338.73,29487.69,68004.83,276.83
14/04/2015,52497.8,4827.05,3859.22,12052.06,12227.6,29492.46,66900.76,279.03
15/04/2015,52161.14,4856.56,3879.1,12135.88,12231.34,29434.8,67051.81,279.24
16/04/2015,52510.55,4850.3,3876.17,12066.91,11998.86,29458.52,67345.3,282.06
17/04/2015,51896.02,4776.72,3832.33,11879.31,11688.7,29113.52,67135.11,281.88
20/04/2015,51500.9,4848.73,3867.82,11981.7,11891.91,29086.28,65779.95,282.16
21/04/2015,51847.23,4869.12,3862.15,12013.53,11939.58,29493.07,67614.27,281.76
22/04/2015,51539.54,4896.38,3881.93,12056.21,11867.37,29826.1,67816.63,282.25
23/04/2015,51604.47,4914.22,3891.46,11981.77,11723.58,29905.72,67563.63,286.4
24/04/2015,52386.02,4979.84,3900.24,12033.92,11810.85,29657.42,68130.02,284.78
27/04/2015,52822.21,4966.95,3884.1,12198.59,12039.16,29603.02,69034.69,283.73
28/04/2015,52520.69,4956.57,3895.21,11982.98,11811.66,29715.06,69056.92,282.15
30/04/2015,51120.74,4846.14,3841.78,11712.07,11454.38,28916.68,68317.12,279.91
7/05/2015,49849.83,4836.62,3849.13,11551.22,11407.97,28578.89,66295.9,275.76
8/05/2015,49834.5,4899.37,3901.01,11842.45,11709.73,28708.07,66994,274.02
11/05/2015,49752.07,4877.45,3881.93,11757.43,11673.35,29066.15,67336.21,274.73
12/05/2015,50189.87,4858.25,3870.69,11632.99,11472.41,29071.97,66614.71,274.66
13/05/2015,50648.37,4864.82,3870.36,11607.3,11351.46,29279.19,66241.82,276.58
14/05/2015,50483.71,4940.18,3912.52,11765.08,11559.82,28991.09,66332.41,277.04
15/05/2015,50919.38,4939.44,3915.99,11683.48,11447.03,29232.08,67649.67,274.56
18/05/2015,50264.96,4959.94,3928.15,11739.13,11594.28,29465.18,67087.91,275.23
19/05/2015,49880.61,4952.74,3926.41,11987.3,11853.33,29666.81,67362.94,276.23
20/05/2015,49834.46,4954.67,3923.18,12043.23,11848.47,29918.91,67120.62,278.79
21/05/2015,50296.09,4981.25,3932.9,12074.67,11864.59,29928.26,67058.08,275.95
22/05/2015,50318.05,4978.71,3924.16,12065.73,11815.01,30019.42,68209.57,279.49
26/05/2015,51283.06,4919.21,3883.88,11942,11625.13,30275.8,68847.84,278.84
27/05/2015,50857,4999.79,3920.11,12174.55,11771.13,30327.8,68436.83,273.32
28/05/2015,50754.08,4988.44,3915.82,12075.68,11677.57,30444.65,66909.01,273.21
29/05/2015,51324.94,4958.3,3891.18,11770.28,11413.82,30462,66835.59,273.56
1/06/2015,50954.11,4974.01,3899.59,11819.43,11436.05,30471.95,67261.11,271.83
2/06/2015,50073.2,4959.75,3895.85,11776.61,11328.8,30432.43,66952.13,269.26
3/06/2015,49607.54,4971.88,3904.83,11848.74,11419.62,30329.21,67460.46,266.97
4/06/2015,48903.18,4935.77,3871.23,11738.02,11340.6,30350.96,67341.75,268.4
5/06/2015,48851.27,4924.98,3865.83,11581.76,11197.15,30310.53,66628.71,267.84
9/06/2015,48619.34,4870.59,3843.16,11439.69,11001.29,29770.41,65975.36,266.33
10/06/2015,48684.66,4934.94,3889.7,11645.94,11265.39,29696.43,65261.5,264.86
11/06/2015,49377.96,4938.39,3897.59,11732,11332.78,30195.08,65816.78,265.08
12/06/2015,49276.69,4900.94,3870.56,11566.37,11196.49,30230.8,66728.38,264.39
15/06/2015,49219.05,4877.96,3852.75,11363.82,10984.97,30202.22,65704.16,263.42
16/06/2015,49192.62,4903.25,3874.73,11421.64,11044.01,30009.86,64982.32,261.06
